name,source,gender,wikidata,type
"Puente del Diablo",wikidata,,Q6674,way
"AP-8 Supersur",,,,way
"Abandoibarra etorbidea",,,,way
"Abandoibarra etorbidea - Avenida Abandoibarra",,,,way
"Abandoibarra etorbidea / Avenida Abandoibarra",,,,way
"Abasolo kalea / Calle Abasolo",,,,way
"Abenduaren hamabiaren kalea / Calle Veintidos de Diciembre",,,,way
"Abusu kalea / Calle Abusu",,,,way
"Abusu zubia",,,,way
"Abuztuak 16 kalea",,,,way
"Acceso Bilbao Arena",,,,way
"Acceso Euskalduna",,,,way
"Acceso N-634",,,,way
"Acceso a Mina Primitiva",,,,way
"Acceso a ascensor",,,,way
"Acceso a huertas",,,,way
"Accesos Bilbao-San Mamés",,,,way
"Acebal Idigoras kalea",,,,way
"Agarre kalea / Calle del Agarre",,,,way
"Agirre anaien kalea / Calle Hermanos Agirre",,,,way
"Agirre lehendakariaren etorbidea",,,,way
"Aita Donostia plaza",,,,way
"Aita Esteban Pernet kalea",,,,way
"Aita Patxi plaza",,,,way
"Aixeona etxaldea / Grupo Aixe-Ona",,,,way
"Aizerrotabidea / Camino Molino de Viento",,,,way
"Alacant kalea / Calle Alicante",,,,way
"Alameda Doctor Areilza / Areiltza doktorearen zumarkalea",,,,way
"Alameda Gregorio de la Revilla / Gregorio de la Revilla zumarkalea",,,,way
"Alameda Mazarredo / Mazarredo zumarkalea",,,,way
"Alameda Recalde / Recalde zumarkalea",,,,way
"Alameda San Mamés / Santimami zumarkalea",,,,way
"Alameda Urquijo / Urkixo zumarkalea",,,,way
"Albacete kalea",,,,way
"Aldamiz mendiaren kalea",,,,way
"Alejandro de La Sota kantoia",,,,way
"Alfredo Etxabe kalea",,,,way
"Alfredo Kraus plaza / Plaza Alfredo Kraus",,,,way
"Altamira Barria kalea",,,,way
Aluzetabidea,,,,way
"Amadeo Deprit kalea / Calle Amadeo Deprit",,,,way
"Amadeus Mozart plaza / Plaza Amadeus Mozart",,,,way
"Amadeus Mozart zeharkalea / Travesía Amadeus Mozart",,,,way
"Ametzola plaza / Plaza de Ametzola",,,,way
"Anboto kalea",,,,way
"Andramari etxetaldea",,,,way
"Andres Eliseo kalea",,,,way
"Andrés Isasi kalea / Calle Andrés Isasi",,,,way
"Andrés Isasi zeharkalea / Travesía de Andrés Isasi",,,,way
"Angel Larroque margolariaren kalea / Calle Pintor Ángel Larroque",,,,way
"Angel Ortiz Alfau kalea",,,,way
"Angela Arregui plaza",,,,way
"Angela Figuera kalea / Calle Ángela Figuera",,,,way
"Anselmo Guinea Margolariaren Kalea",,,,way
"Antonio Eguiluz kalea",,,,way
"Arabella kalea / Calle Arabella",,,,way
"Arane kalea",,,,way
"Araneko kalea",,,,way
Aranekobidea,,,,way
"Arangoitiko pasabidea",,,,way
"Arbidea kalea",,,,way
"Arbidea kalea / Calle Arbidea",,,,way
"Arbieto kalea",,,,way
"Arbolantxa bidea",,,,way
"Arbolantxa zeharkalea / Travesía Arbolantxa",,,,way
"Archer marinelaren kalea",,,,way
"Área de Descanso",,,,way
"Areatza kalea",,,,way
"Areatzako zubia / Puente del Arenal",,,,way
Arenal,,,,relation
"Arenatza kobaren kalea / Calle Cueva Arenaza",,,,way
"Aretxabaleta bidea",,,,way
"Aretxabaleta kalea",,,,way
"Aretxaga kalea / Calle Aretxaga",,,,way
Argiñao,,,,way
"Armotxa kalea",,,,way
Armotxabidea,,,,way
"Arraiz etxealdea",,,,way
"Arriaga plaza",,,,relation+way
"Arrigorriaga - Bilbo errepidea / Carretera Arrigorriaga - Bilbao",,,,way
"Arriquibar enparantza",,,,way
"Arriquibar plaza",,,,way
"Arsuaga kalea",,,,way
"Artalandio kalea / Calle Artalandio",,,,way
"Artatzamina kalea / Calle Artasamina",,,,way
"Artazu kalea",,,,way
Artazubidea,,,,way
"Artazuriña kalea",,,,way
"Artetxe kondearen zumarkalea / Alameda del Conde Artetxe",,,,way
"Artsenal bidea",,,,way
"Artxanda - Santo Domingo errepidea",,,,way
"Artxanda Igoera / Subida Artxanda",,,,way
"Artxanda bidea",,,,way
"Artxandaren igoeraren kalea",,,,way
"Ascensor Artazu",,,,way
"Astarloa kalea",,,,way
"Asturias kalea / Calle Asturias",,,,way
"Atxetabide kalea",,,,way
"Atxuri kalea / Calle Atxuri",,,,way
"Auntzetxeta kalea",,,,way
"Auntzetxeta kalea / Calle Auntzetxeta",,,,way
"Aurelio Arteta Margolariaren kalea",,,,way
"Aurrekoetxea kalea",,,,way
"Autonomia kalea / Calle Autonomía",,,,way
"Autovía del Cantábrico",,,,way
"Avenida Abandoibarra",,,,way
"Avenida Askatasuna",,,,way
"Avenida Askatasuna / Askatasuna etorbidea",,,,way
"Avenida Bergara / Bergara etorbidea",,,,way
"Avenida Enekuri",,,,way
"Avenida Enekuri / Enekuri etorbidea",,,,way
"Avenida Jesus Galindez",,,,way
"Avenida Juan Antonio Zunzunegui etorbidea",,,,way
"Avenida Julián Gaiarre",,,,way
"Avenida Kirikiño / Kirikiño etorbidea",,,,way
"Avenida Lapurdi / Lapurdi etorbidea",,,,way
"Avenida Lehendakari Aguirre / Agirre lehendakariaren etorbidea",,,,way
"Avenida Madariaga / Madariaga etorbidea",,,,way
"Avenida Maurice Ravel / Maurice Ravel etorbidea",,,,way
"Avenida Miraflores",,,,way
"Avenida Montevideo / Montevideo etorbidea",,,,way
"Avenida Pau Casals",,,,way
"Avenida Pintor Lecuona / Lekuona margolariaren etorbidea",,,,way
"Avenida Reyes Católicos / Errege Katolikoen etorbidea",,,,way
"Avenida Sabino Arana / Sabino Arana etorbidea",,,,way
"Avenida Sabino Arana etorbidea",,,,way
"Avenida San Adrián / San Adrian etorbidea",,,,way
"Avenida Txomin Garat",,,,way
"Avenida Vergara / Bergara etorbidea",,,,way
"Avenida Zarandoa",,,,way
"Avenida Zarandoa / Zarandoa etorbidea",,,,way
"Avenida Zuberoa / Zuberoa etorbidea",,,,way
"Avenida Zumalacarregui",,,,way
"Avenida Zumalacárregui",,,,way
"Avenida Zumalacarregui / Zumalacarregui etorbidea",,,,way
"Avenida de Montevideo",,,,way
"Avenida de Ramón y Cajal / Ramón y Cajal etorbidea",,,,way
"Avenida de Sabino Arana / Sabino Arana etorbidea",,,,way
"Avenida de las Universidades / Unibertsitate etorbidea",,,,way
"Avenida del Ferrocarril",,,,way
"Avenida del Ferrocarril / Trenbideko etorbidea",,,,way
"Avril auzoa",,,,way
"Ayala kantzilerraren kalea",,,,way
"Azaroaren 25eko emakumeen plaza / Plaza de las Mujeres 25 de Noviembre",,,,way
"Azurleku auzoa",,,,way
"BI-3741 Carretera de Artxanda / Artxandako errepidea",,,,way
"BI-R8 Bilbao-Arrigorriaga Bidegorria",,,,way
"Babes kalea / Calle Amparo",,,,way
"Banco Bilbao kalea / Calle Banco Bilbao",,,,way
"Barinaga kalea",,,,way
"Barriada Lagunetxea Auzunea",,,,way
"Barriada Sarrikue / Sarrikue auzunea",,,,way
"Barrio Altamira / Altamira auzoa",,,,way
"Barrio Andra Maria de Begoña / Begoñako Andra Mari auzoa",,,,way
"Barrio Betolatza",,,,way
"Barrio Betolatza / Betolatza Auzoa",,,,way
"Barrio Caserío Larrazabal / Larrazabal Baserria auzoa",,,,way
"Barrio Gardeazabal / Gardeazabal auzoa",,,,way
"Barrio Ignacio Miranda / Ignacio Miranda auzunea",,,,way
"Barrio La Asunción",,,,way
"Barrio Larrazabal",,,,way
"Barrio Miravista",,,,way
"Barrio Monte Caramelo / Mintegitxueta auzoa",,,,way
"Barrio Uretamendi / Uretamendi auzoa",,,,way
"Barrio Zurbaran / Zurbaran auzoa",,,,way
"Barrio de La Cruz / Gurutze auzoa",,,,way
"Barrio de Masustegi",,,,way
"Barrio de Sto. Domingo",,,,way
"Basabidea kalea",,,,way
"Basarrate enparantza",,,,way
"Baso bidea",,,,way
Basobidea,,,,way
"Basterra kalea / Calle Basterra",,,,way
"Basurto - Kaxtresana errepidea",,,,way
"Basurto-Kastrexana errepidea",,,,way
"Basurto-Kaxtresana errepidea",,,,way
"Basurtoko Geltokiaren kalea",,,,way
"Basurtubekoa kalea / Calle Basurtubekoa",,,,way
